DscConjUndConsumidoras,DEC,FEC,Custo_Violacao_Continuidade_R$,Custo_Violacao_Tensao_R$,Custo_Compensacao_Geral_R$,Total_Compensacao_R$
RIO DAS EGUAS,5.254520547945205,1.4204109589041096,26180071.18,0.0,0.0,26180071.18
RIO BRANCO,2.1606849315068493,0.8436986301369863,23707945.93,0.0,0.0,23707945.93
CERRADO,1.443972602739726,0.85986301369863,22049234.38,0.0,0.0,22049234.38
RODA VELHA,1.61,0.7628767123287671,10034191.69,0.0,0.0,10034191.69
BARREIRAS,0.6835416666666667,0.3529166666666667,8107894.47,0.0,0.0,8107894.47
POSTO DA MATA,2.041780821917808,0.8456164383561643,7584664.36,0.0,0.0,7584664.36
"ITABUNA II 34,5kV",2.539375,0.888125,5786858.16,0.0,0.0,5786858.16
PORTO SEGURO,1.2433333333333334,0.5302083333333333,5700967.59,0.0,0.0,5700967.59
BETANIA,2.7710958904109586,0.8653424657534247,5617862.14,0.0,0.0,5617862.14
SAO CRISTOVAO,0.5391780821917808,0.36178082191780825,5443052.15,0.0,0.0,5443052.15
LAURO DE FREITAS,0.5957534246575342,0.3526027397260274,4953736.33,0.0,0.0,4953736.33
"EUNAPOLIS 34,5kV",2.2924657534246573,0.6645205479452054,4473654.41,0.0,0.0,4473654.41
RIO DAS PEDRAS,0.5389041095890411,0.44027397260273976,4411890.25,0.0,0.0,4411890.25
CATU,1.194109589041096,0.6171232876712328,4321631.67,0.0,0.0,4321631.67
CAMACA,2.995205479452055,0.856027397260274,4190817.42,0.0,0.0,4190817.42
GANDU,2.481095890410959,0.644931506849315,4121206.85,0.0,0.0,4121206.85
ITABUNA,1.7006249999999998,0.5908333333333333,4089158.68,0.0,0.0,4089158.68
"ITABUNA II 34,5kV",1.3703999999999998,0.49119999999999997,3903882.71,0.0,0.0,3903882.71
AMARALINA,0.5353424657534246,0.3301369863013699,3867303.29,0.0,0.0,3867303.29
MARAU I,2.9804000000000004,0.8108,3741007.34,0.0,0.0,3741007.34
JUNCO,1.7771232876712328,0.37616438356164383,3615832.8299999996,0.0,0.0,3615832.8299999996
CAMACARI  I,0.6991780821917808,0.3478082191780822,3518576.74,0.0,0.0,3518576.74
MEDEIROS NETO,1.9804109589041095,0.6997260273972602,3411485.58,0.0,0.0,3411485.58
ITAMARAJU,1.6882191780821918,0.6269863013698631,3380091.63,0.0,0.0,3380091.63
ITABEROE,3.6527083333333334,0.9754166666666667,3290549.86,0.0,0.0,3290549.86
