DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;AREA;Área do conj., expressa em km2, correspondente a área geogr. e não a área elétr.
2026-03-05;AREAT;Área do conjunto em km2
2026-03-05;CM;Encargo de uso do sistema de distribuição aplicado à unidade cons. (mensal)
2026-03-05;CMA;Encargo de uso do sistema de distribuição aplicado à unidade consumidora (anual)
2026-03-05;CMM;Consumo médio mensal, em MWh, média aritmética simples do último ano, excluin-
2026-03-05;CMMT;Consumo médio mensal em MWh
2026-03-05;CMMTCO;Energia cons comercial nos últimos 12 meses (ano móvel) MT e BT
2026-03-05;CMMTIN;Energia cons industrial nos últimos 12 meses (ano móvel)  MT e BT
2026-03-05;CMMTOU;Energia cons outras classes nos últimos 12 meses (ano móvel) MT e BT
2026-03-05;CMMTRE;Energia cons residencial nos últimos 12 meses (ano móvel) MT e BT
2026-03-05;CMMTRU;Energia cons rural nos últimos 12 meses (ano móvel) MT e BT
2026-03-05;CMT;Encargo de uso do sistema de distribuição aplicado à unidade cons. (trimestral)
2026-03-05;CODCLSUC;Código da Classe da Unidade Consumidora
2026-03-05;CODCLSUCA;Código da Classe da Unidade Consumidora
2026-03-05;CODCLSUCT;Código da Classe da Unidade Consumidora
2026-03-05;CODMUNUC;Código do Munícipio do Consumidor
2026-03-05;CODMUNUCA;Código do Munícipio do Consumidor
2026-03-05;CODMUNUCT;Código do Munícipio do Consumidor
2026-03-05;COMPCONF;Compensação de UC atendida fora dos limites previstos de DRP ou DRC
2026-03-05;COMPCONT;Compensação pela violação do DIC, FIC ou DMIC
2026-03-05;COMPCONTA;Compensação pela violação do DIC, FIC ou DMIC
2026-03-05;COMPCONTT;Compensação pela violação do DIC, FIC ou DMIC
2026-03-05;CRAfedMed;Créd. Prazo Viol. de solicitações de aferição dos medidores (art. 137)
2026-03-05;CRAnProj;Créd. Prazo Viol. de informação do resultado da análise do projeto (art. 27-B)
2026-03-05;CRCmsnObra;Créd. Prazo Viol. de Comissionamento das obras. (art. 37)
2026-03-05;CREstProj;Créd. Prazo Viol. por estudos, orçamentos e projetos por obras (art. 32)
2026-03-05;CRInform;Créd. Prazo Viol. de informação da relação dos atendimentos (art. 199)
2026-03-05;CRLigA;Créd. Prazo Viol. por ligação de unidade consumidora do grupo A (art. 31)
2026-03-05;CRLigBRr;Créditos cedidos por ligação de consumidor do grupo B em área rural (art. 31)
2026-03-05;CRLigBUb;Créd. Prazo Viol. por ligação de consumidor do grupo B em área urbana (art. 31)
2026-03-05;CRNvCmsn;Créd. Prazo Viol. de Novo comissionamento quando de reprovação. (art. 37)
